Functions sorted by metric: Inclusive Bytes Leaked

Incl.     Incl.  Incl.      Incl.         Name
Bytes     Leaks  Bytes      Allocations
Leaked           Allocated
     128     1       17528     223        ossl_method_store_add
     128     1        7808      61        ossl_sa_set
     128     1       17759     231        put_evp_method_in_store
     117     2         125       3        <static>@0x2b195 (<ld-linux-x86-64.so.2>)
     116     1       17048     351        _Py_DecodeUTF8Ex
     116     1       19580     369        unicode_decode_locale.llvm.15414398618286582215
     112     1         112       1        <static>@0xeeb3 (<ld-linux-x86-64.so.2>)
     112     1         131       2        BIO_meth_new
     112     2        1568      28        CRYPTO_THREAD_lock_new
     112     1         112       1        __tls_get_addr
     112     1         131       2        ossl_bio_prov_init_bio_method
     112     1         163       3        ossl_default_provider_init
     112     1         163       3        provider_activate
     112     1         635      10        provider_activate_fallbacks
     108     1         476      16        PyUnicode_AsEncodedString.warm
     108     1         476      16        _PyUnicode_AsLatin1String
     108     1       22660     679        rust_replacement_cache.constprop.0
     108     1     1450321      70        unicode_encode
      96     4       50328    1461        ERR_load_strings_const
      96     3        6048     189        OPENSSL_sk_new_null
      96     1       25884     396        _PyTraceMalloc_TraceRef
      96     1        5656      88        _TAIL_CALL_BUILD_LIST.llvm.641356221097560969.cold
      96     1       16896     180        stringlib_upper
      91     2       14080     221        algorithm_do_this
      91     2       14079     220        construct_evp_method
      88     2         208       7        ossl_init_thread_start
      87     2        7023     453        CRYPTO_strdup
      80     2         336       8        <static>@0x4790c (<libc.so.6>)
      80     2         152       3        CONF_modules_unload.cold
      80     2         336       8        OPENSSL_cleanup
      80     3      208868    8658        _PyObject_GC_New
      80     3     3237401   24637        _TAIL_CALL_CALL_METHOD_DESCRIPTOR_FAST_WITH_KEYWORDS.llvm.641356221097560969
      80     3      140000    4582        _TAIL_CALL_CALL_METHOD_DESCRIPTOR_NOARGS.llvm.641356221097560969
      80     3       98140    4060        dict_items
      80     2         336       8        exit
      80     2         288       6        ossl_config_modules_free
      72     1        1288      14        EVP_hexdigest
      66     1         330       2        _Py_wreadlink
      66     1         594       3        getpath_realpath
      64     3       63652    2549        _PyList_Extend.warm
      64     3       61436    2556        builtin_sorted
      64     2        7200     109        trace_to_pyobject
      64     2        7200     109        traceback_to_pyobject
      59     1        5370     112        ossl_namemap_add_names
      56     1         104       3        create_global_tevent_register_ossl_
      53     1        3332     102        EVP_MD_fetch
      53     1        8920     140        _hashlib_HASH
      53     1         549      10        _hashlib_openssl_sha384
      53     1        3332     102        evp_generic_fetch
